1 | estimateExecutionGasForMiner is unauthenticated, and the estimate's revert leaks confidential balances | High  | Unresolved
2 | A withdrawal whose pTokens were taken on COTI can be cancelled on the source chain as though it never happened | High  | Resolved
3 | Invalidating a pending request creates a permanent, silent divergence between the two chains | High  | Unresolved
4 | Centralization and trust model | High  | Acknowledged
5 | A collateral release that reverts is recorded as a successful withdrawal, with the user's pTokens already surr | Medium  | Unresolved
6 | The rescue path routes user funds through a mutable address and rewrites its own accounting to match | Medium  | Status:Unresolved
7 | The callback leg is quoted from the acknowledgement's size and validated against the request's, so a correctly | Medium  | Unresolved
8 | The portal's fee oracle fails open where the Inbox's fails closed, and a stale feed silently waives the percen | Medium  | Unresolved
9 | Pausing the portal does not stop collateral leaving it, and the emergency rescue can be raced and defeated by  | Medium  | Unresolved
10 | The stale-request kill matures before the protocol's own expiry and permanently forecloses the user's refund | Medium  | Unresolved
11 | The blacklist does not apply to the pToken, so a listed address can move value on the confidential leg | Medium  | Unresolved
12 | Codeless target contract is treated as a successful execution | Medium  | Unresolved
13 | A fee quote is unreliable whenever the gas price moves between quoting and inclusion | Medium  | Unresolved
14 | The cross-chain conversion price is a manual constant with no age bound, and the two chains cannot stay consis | Medium | Unresolved 
15 | The portal fee is quoted and then re-derived at execution, with no tolerance between the two | Medium  | Unresolved
16 | Remounting a portal rotates a permission the old portal's refund path still needs, and quiescence cannot be ch | Medium  | Unresolved 
17 | The shipped fee templates use the gas-price skew the documentation reserves for local testing, and the safegua | Low  | Unresolved
18 | Adopting an existing pToken does not check it corresponds to the collateral it is paired with | Low | Unresolved
19 | A portal accepts deposits before its pToken is registered on COTI; nonce ordering prevents the loss, leaving a | Low | Unresolved
20 | Two-way request fields are validated when sent but not when received | Low | Unresolved
21 | The two delegate-call modules cannot be replaced without redeploying the entire Inbox | Low | Unresolved
22 | The dynamic fee's floor and cap are in wei while the fee is in USD, so the bounds drift with the native price | Low | Unresolved
23 | The remount safety sequence is enforced on the path, not the capability: raw minter and ownership rotation byp | Low | Unresolved
24 | The confidential ledger's ownership can be renounced, permanently freezing factory allow-listing and inbox rot | Low | Unresolved
25 | A batch burn whose acknowledgement is lost can never be resolved, permanently reserving pTokens that no longer | Low | Unresolved
26 | A configuration change can strand paid in-flight messages, and one such message fails an entire batch | Low | Unresolved
27 | The build is not reproducible, and the dependency has already diverged from its published form | Low | Unresolved
28 | The audited compiler configuration cannot produce a COTI-deployable artifact | Low | Unresolved
29 | The gas-price skew ratio has no upper bound | Low | Unresolved
30 | Authorisation for the fee administration surface lives in an override rather than the base, and one contract i | Low | Unresolved
31 | The initialisation path does not enforce its own preconditions; the deployment script does | Low | Unresolved
32 | A confidential input cannot be produced by the user; the amount must be disclosed to whoever signs it | Low | Unresolved
